Id_Linea,Linea,Inicio,Fin,Tipo
1,1,PLAZA DE CRISTO REY,PROSPERIDAD,Diario
2,2,PLAZA DE MANUEL BECERRA,AVENIDA DE REINA VICTORIA,Diario
3,3,PUERTA DE TOLEDO,PLAZA DE SAN AMARO,Diario
4,4,PLAZA DE CIUDAD LINEAL,PUERTA DE ARGANDA,Diario
5,5,PUERTA DEL SOL/SEVILLA,ESTACION DE CHAMARTIN,Diario
6,6,PLAZA DE JACINTO BENAVENTE,ORCASITAS,Diario
7,7,PLAZA DE ALONSO MARTINEZ,MANOTERAS,Diario
8,8,PLAZA DE LEGAZPI,VALDEBERNARDO,Diario
9,9,SEVILLA,HORTALEZA,Diario
10,10,PLAZA DE CIBELES,PALOMERAS,Diario
11,11,MARQUES DE VIANA,BARRIO BLANCO,Diario
12,12,PLAZA DE CRISTO REY,PASEO MARQUES DE ZAFRA,Diario
14,14,PLAZA DE CONDE DE CASAL,AVENIDA DE PIO XII,Diario
15,15,PUERTA DEL SOL/SEVILLA,LA ELIPA,Diario
16,16,MONCLOA,AVENIDA DE PIO XII,Diario
17,17,PLAZA MAYOR,COLONIA PARQUE DE EUROPA,Diario
18,18,PLAZA MAYOR,VILLAVERDE CRUCE,Diario
19,19,PLAZA DE CATALUÑA,PLAZA DE LEGAZPI,Diario
20,20,PUERTA DEL SOL/SEVILLA,PAVONES,Diario
21,21,PASEO DEL PINTOR ROSALES,BARRIO EL SALVADOR,Diario
22,22,PLAZA DE LEGAZPI,VILLAVERDE ALTO,Diario
23,23,PLAZA MAYOR,EL ESPINILLO,Diario
24,24,ATOCHA RENFE,POZO DEL TIO RAIMUNDO,Diario
25,25,OPERA,CASA DE CAMPO,Diario
26,26,PLAZA DE TIRSO DE MOLINA,DIEGO DE LEON,Diario
27,27,GLORIETA DE EMBAJADORES,PLAZA DE CASTILLA,Diario
28,28,PUERTA DE ALCALA,BARRIO DE CANILLEJAS,Diario
29,29,AVENIDA DE FELIPE II,MANOTERAS,Diario
30,30,AVENIDA DE FELIPE II,PAVONES,Diario
31,31,PLAZA MAYOR,ALUCHE,Diario
32,32,PLAZA DE JACINTO BENAVENTE,PAVONES,Diario
33,33,PRINCIPE PIO,CASA DE CAMPO,Diario
34,34,PLAZA DE CIBELES,LAS AGUILAS,Diario
35,35,PLAZA MAYOR,CARABANCHEL ALTO,Diario
36,36,ATOCHA,CAMPAMENTO,Diario
37,37,GLORIETA DE CUATRO CAMINOS,PUENTE DE VALLECAS,Diario
38,38,PLAZA DE MANUEL BECERRA,LAS ROSAS,Diario
39,39,OPERA,COLONIA SAN IGNACIO DE LOYOLA,Diario
40,40,TRIBUNAL,ALFONSO XIII,Diario
41,41,ATOCHA,COLONIA MANZANARES,Diario
42,42,PLAZA DE CASTILLA,BARRIO DE PEÑAGRANDE,Diario
43,43,AVENIDA DE FELIPE II,ESTRECHO,Diario
44,44,PLAZA DEL CALLAO,MARQUES DE VIANA,Diario
45,45,PLAZA DE LEGAZPI,AVENIDA DE LA REINA VICTORIA,Diario
46,46,SEVILLA,MONCLOA,Diario
47,47,ATOCHA,CARABANCHEL ALTO,Diario
48,48,PLAZA DE MANUEL BECERRA,BARRIO DE CANILLEJAS,Diario
49,49,PLAZA DE CASTILLA,ARROYO DEL FRESNO,Diario
50,50,PUERTA DEL SOL,AVENIDA DEL MANZANARES,Diario
51,51,PUERTA DEL SOL,PLAZA DEL PERU,Diario
52,52,PUERTA DEL SOL/SEVILLA,SANTAMARCA,Diario
53,53,PUERTA DEL SOL/SEVILLA,ARTURO SORIA,Diario
54,54,ATOCHA RENFE,CONGOSTO,Diario
55,55,ATOCHA,BATAN,Diario
56,56,DIEGO DE LEON,PUENTE DE VALLECAS,Diario
57,57,ATOCHA RENFE,ALTO DEL ARENAL,Diario
58,58,PUENTE VALLECAS,BARRIO DE SANTA EUGENIA,Diario
59,59,ATOCHA RENFE,COLONIA SAN CRISTOBAL DE LOS ANGELES,Diario
60,60,PLAZA DE LA CEBADA,ORCASITAS,Diario
61,61,MONCLOA,NARVAEZ,Diario
62,62,PRINCIPE PIO,LOS PUERTOS,Diario
63,63,AVENIDA DE FELIPE II,BARRIO DE SANTA EUGENIA,Diario
64,64,GLORIETA DE CUATRO CAMINOS,ARROYO DEL FRESNO,Diario
65,65,PLAZA DE JACINTO BENAVENTE,COLONIA GRAN CAPITAN,Diario
66,66,GLORIETA DE CUATRO CAMINOS,FUENCARRAL,Diario
67,67,PLAZA DE CASTILLA,BARRIO DE PEÑAGRANDE,Diario
68,C1,SENTIDO 1,SENTIDO 2,Diario
69,C2,SENTIDO 1,SENTIDO 2,Diario
70,70,PLAZA DE CASTILLA,ALSACIA,Diario
71,71,PLAZA DE MANUEL BECERRA,PUERTA DE ARGANDA,Diario
72,72,DIEGO DE LEON,HORTALEZA,Diario
73,73,DIEGO DE LEON,CANILLAS,Diario
74,74,PASEO DEL PINTOR ROSALES,PARQUE DE LAS AVENIDAS,Diario
75,75,PLAZA DEL CALLAO,COLONIA MANZANARES,Diario
76,76,PLAZA BEATA MARIA ANA DE JESUS,VILLAVERDE ALTO,Diario
77,77,PLAZA DE CIUDAD LINEAL,COLONIA FIN DE SEMANA,Diario
78,78,GLORIETA DE EMBAJADORES,BARRIO DE SAN FERMIN,Diario
79,79,PLAZA DE LEGAZPI,VILLAVERDE ALTO,Diario
81,81,OPORTO,HOSPITAL 12 DE OCTUBRE,Diario
82,82,MONCLOA,BARRIO DE PEÑAGRANDE,Diario
83,83,MONCLOA,BARRIO DEL PILAR,Diario
85,85,ATOCHA RENFE,BARRIO LOS ROSALES,Diario
86,86,ATOCHA RENFE,VILLAVERDE ALTO,Diario
87,87,PLAZA DE LA REPUBLICA DOMINICANA,LAS CARCAVAS,Diario
90,E,PLAZA DEL CONDE DE CASAL,SIERRA DE GUADALUPE,Universitario
91,F,GLORIETA DE CUATRO CAMINOS,CIUDAD UNIVERSITARIA,Universitario
92,G,MONCLOA,CIUDAD UNIVERSITARIA,Universitario
93,A,MONCLOA,CAMPUS SOMOSAGUAS,Universitario
96,H,ALUCHE,CAMPUS DE SOMOSAGUAS,Universitario
99,U,AVENIDA DE SENECA,PARANINFO,Universitario
100,100,MORATALAZ,VALDERRIVAS,Diario
101,101,CANILLEJAS,AEROPUERTO-BARAJAS,Diario
102,102,ATOCHA RENFE,ESTACION EL POZO,Diario
103,103,ESTACION EL POZO,ECOBULEVAR,Diario
104,104,PLAZA DE CIUDAD LINEAL,MAR DE CRISTAL,Diario
105,105,PLAZA DE CIUDAD LINEAL,BARAJAS,Diario
106,106,PLAZA DE MANUEL BECERRA,VICALVARO,Diario
107,107,PLAZA DE CASTILLA,HORTALEZA,Diario
108,108,OPORTO,CEMENTERIO DE CARABANCHEL,Diario
109,109,PLAZA DE CIUDAD LINEAL,CASTILLO DE UCLES,Diario
110,110,PLAZA DE MANUEL BECERRA,CEMENTERIO DE LA ALMUDENA,Diario
111,111,PUENTE DE VALLECAS,ENTREVIAS,Diario
112,112,MAR DE CRISTAL,BARRIO DEL AEROPUERTO,Diario
113,113,MENDEZ ALVARO,PLAZA DE CIUDAD LINEAL,Diario
114,114,AVENIDA DE AMERICA,BARRIO DEL AEROPUERTO,Diario
115,115,AVENIDA DE AMERICA,BARAJAS,Diario
116,116,GLORIETA DE EMBAJADORES,VILLAVERDE CRUCE,Diario
117,117,ALUCHE,COLONIA SAN IGNACIO DE LOYOLA,Diario
118,118,GLORIETA DE EMBAJADORES,AVENIDA DE LA PESETA,Diario
119,119,ATOCHA,BARRIO DE GOYA,Diario
120,120,PLAZA DE LIMA,HORTALEZA,Diario
121,121,CAMPAMENTO,HOSPITAL 12 DE OCTUBRE,Diario
122,122,AVENIDA DE AMERICA,CAMPO DE LAS NACIONES,Diario
123,123,PLAZA DE LEGAZPI,VILLAVERDE BAJO,Diario
124,124,GLORIETA DE CUATRO CAMINOS,LACOMA,Diario
125,125,MAR DE CRISTAL,HOSPITAL RAMON Y CAJAL,Diario
126,126,NUEVOS MINISTERIOS,BARRIO DEL PILAR,Diario
127,127,GLORIETA DE CUATRO CAMINOS,CIUDAD DE LOS PERIODISTAS,Diario
128,128,GLORIETA DE CUATRO CAMINOS,BARRIO DEL PILAR,Diario
